SHH_beta	Group4_gamma	SHH_delta	Group3_beta	SHH_alpha	WNT_beta	SHH_gamma	Group3_gamma	Group4_beta	Group3_alpha	Group4_alpha	WNT_alpha
Nr2e3	4.91146775351	6.06336829282	5.1397571957	5.96825049151	4.94174367142	5.17823569643	4.93501644206	5.71574231197	5.21564080124	7.93042714434	5.13345765707	4.99574695488
Cabp5	4.59818433903	6.84612561013	4.66880642021	6.43607497332	4.71029291483	5.61002770962	4.68912040713	6.2856244814	5.30607681783	8.82914857981	5.19300337703	6.32189469976
Rcvrn	5.36048011146	8.42074540482	5.40111602133	7.56260434651	5.29187266337	6.31230021305	5.72031909934	7.5657674392	6.05825592273	10.4373124942	6.22980922477	5.69929371796
Robo4	6.20606108617	6.49692518521	6.06332654016	6.38067930876	6.31411205838	6.56245866338	6.1671694864	6.66145842192	6.33031691277	6.82830162158	6.218482864	6.56597967196
Tdrd7	5.45491590369	6.67080029789	5.77888809709	6.5300303633	5.55435007735	6.30720359876	6.08295016898	6.28808721862	6.28159468641	7.70139214934	6.10095032947	6.51774311988
Pla2g4c	4.54606272491	6.07787201931	4.4467111	5.65767093678	4.51331913231	4.92596867438	5.29564362953	5.77776010118	4.99697423488	7.18103576946	5.21938861845	5.17942084565
Casz1	5.46889138066	7.31788487451	5.97035159458	7.25690817273	6.22427646828	7.07392225805	5.50460695515	7.88598029095	5.78917652857	8.23979516867	5.69143500343	7.45296845669
Rs1	3.80671600183	4.23503473892	3.97289758142	4.36900068614	3.91561726783	3.98243745667	3.87712104226	4.52662117728	3.99686889021	5.64751206139	3.97774720312	3.93570004657
Cpne6	5.42404983443	7.11725365245	5.36133937359	7.08335606838	5.24461123937	7.980719971	5.92518839355	7.3501886746	6.11013832895	9.24212535812	6.17372762832	8.27974960724
Frmpd2	4.99044968889	6.06226483287	5.00890154504	6.49399784678	5.04559256458	6.19176032929	5.15753858532	7.30230017137	5.56782923164	6.98741720113	5.52855556159	6.68688454494
Gng13	5.87839410431	6.70542911878	5.98775884499	6.57918746043	5.92214038094	6.35911253676	6.10989020634	6.41691940865	6.19876685656	7.26768813176	6.1276223932	6.32096918288
Nxph4	6.51321892943	7.05570494279	5.84869602374	8.84004754557	6.2892616772	6.25481821414	6.56149641632	8.92329350772	6.37536799517	8.30609236457	7.33029199668	5.65262526849
Impdh1	6.34065030757	7.32470428826	6.75968597863	7.36504713697	6.90338945892	7.38854797652	6.95073021877	7.45113692472	7.37546278479	7.21826688736	7.42359893132	7.62788357786
