Gene_ID/FPKM	1NSC-wt	2NSC-het	3NSC-ko	4NSC-ko	5NSC-wt
Msh3	6.59612	4.8264	4.498	4.61812	5.89046
4930539J05Rik	1.32573	2.62898	1.79335	1.74694	1.71891
Cdk5rap2	26.2171	25.5564	22.5509	24.2256	28.5237
Pphln1	26.2799	20.9479	17.9739	19.2572	21.3219
Ywhaq	121.64	100.886	87.8439	86.9978	108.407
Ddx26b	4.27219	3.02455	2.98051	3.28868	3.79342
Swt1	2.92853	1.97816	1.84567	1.81649	1.81258
Arhgap18	57.0014	39.983	31.9426	38.8032	37.5573
Zfp101	2.75488	1.26562	1.35408	1.78549	2.10888
Lars	36.3798	37.4123	30.6523	32.9929	45.6142
Ythdf1	32.0104	27.6089	23.6845	24.7301	27.7574
Ybx3	159.739	138.157	99.3775	118.973	141.283
Tmem183a	33.197	27.2802	23.278	23.824	28.9111
Nelfcd	30.7981	30.2424	22.6224	27.8025	34.6281
Epc1	14.3594	11.9468	11.5039	11.1931	12.6383
Lsg1	25.2814	22.9209	18.4186	21.0453	23.8776
Gid4	9.1752	8.54026	6.96541	7.12984	8.71454
2810006K23Rik	19.1823	16.0641	12.8357	15.7698	18.9424
Scamp4	46.3474	42.4326	32.9757	39.0147	43.46
Brd9	23.527	19.2874	15.6302	18.2092	21.7443
Ahsa2	17.8491	16.0539	11.8192	13.56	15.9671
Pigm	5.23407	3.46914	3.55512	3.72316	4.97256
E4f1	7.63496	6.07426	5.03304	5.84505	8.01217
Zfp930	4.75896	2.45325	2.63707	2.48065	2.88223
Trim37	30.7861	23.751	22.1817	24.6262	30.3489
Epn2	88.9362	83.6554	79.016	72.1936	88.4624
Mrps30	33.5441	29.1266	21.1706	23.6943	29.5135
Deaf1	17.5364	16.7727	14.5895	13.586	16.6149
Amph	21.1218	18.4879	16.3971	14.361	18.6533
Smarca5-ps	16.2222	12.3441	9.65718	10.8731	13.8274
2810002D19Rik	5.75107	3.93605	3.29564	4.33724	3.83395
Chd1l	12.1984	10.9525	8.69219	9.88359	13.3492
Ssbp1	13.6661	11.3528	10.0847	8.7763	13.7962
Cchcr1	8.02126	9.12619	7.87088	7.83515	8.90474
Ints10	29.4792	24.8936	20.5757	21.5665	27.2867
Fam110a	27.5843	30.3022	19.438	25.5229	23.5328
Gtf3c4	15.2514	14.112	12.541	12.2664	14.6139
Qrich1	39.4185	32.4589	28.3563	30.2728	33.3385
9630033F20Rik	8.32314	6.64795	6.07846	6.86729	8.38517
Nop14	27.0109	23.0927	17.8525	21.1783	24.6919
Oard1	26.9066	20.2434	14.4573	19.3287	22.5866
Zfp629	6.3015	5.65922	4.85066	5.23405	6.20908
Wapal	21.4433	15.3286	14.2409	15.5994	18.2754
Gatad2b	13.9038	12.2884	12.1848	12.5711	14.0661
Nt5c3b	40.3275	36.3576	28.3918	33.7951	37.8043
Ppa1	75.7516	64.0717	51.2889	56.2305	75.2641
Aplf	4.03047	3.35453	2.69985	2.59165	3.90798
Dhx38	19.6491	16.0848	14.2928	15.6763	17.7855
Mrrf	9.28837	8.24616	6.65733	6.96956	9.11795
Tjp1	37.2895	32.1534	28.3761	32.0157	33.4832
Zfp39	2.19298	1.72641	1.53268	1.46549	1.6812
Peg3	12.3518	11.7618	11.7853	12.4101	15.7603
Llgl1	54.6538	48.3344	39.9953	41.6558	59.5872
Ino80	8.81998	8.95879	7.81384	7.35924	8.76177
